EventID,Timestamp,Protocal,Source IP,Source Port,Destination IP,Destination Port
519,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
520,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
521,2024-12-21 16:49:47,icmp,192.168.43.13,,192.168.43.41,
522,2024-12-21 16:49:47,icmp,192.168.43.41,,192.168.43.13,
523,2024-12-21 16:49:47,icmp,192.168.43.13,,192.168.43.41,
524,2024-12-21 16:49:47,icmp,192.168.43.41,,192.168.43.13,
525,2024-12-21 16:49:47,icmp,192.168.43.13,,192.168.43.41,
526,2024-12-21 16:49:47,icmp,192.168.43.41,,192.168.43.13,
527,2024-12-21 16:49:47,icmp,192.168.43.13,,192.168.43.41,
528,2024-12-21 16:49:47,icmp,192.168.43.41,,192.168.43.13,
529,2024-12-21 16:49:47,icmp,192.168.43.13,,192.168.43.41,
